year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_notes,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,wetmass_or_dry,salinity_ppt,salinity_factor,smolt_factor
1991,Rombough,Physiol. Zool.,0.548212084,NA,12,0,NA,0,NA,0.139909103,NA,-1.966762328,-0.601093053,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.500863132,NA,12,0,NA,0,NA,0.153575528,NA,-1.873562793,-0.691422405,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.525277435,NA,12,0,NA,0,NA,0.166272045,NA,-1.794130008,-0.643828708,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.592601726,NA,12,0,NA,0,NA,0.182169816,NA,-1.702815975,-0.523232731,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.370653514,NA,12,0,NA,0,NA,0.10121165,NA,-2.290541412,-0.992487577,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.392848335,NA,12,0,NA,0,NA,0.111445624,NA,-2.194218481,-0.934331657,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.406905055,NA,12,0,NA,0,NA,0.114295014,NA,-2.168972329,-0.8991754,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.429099877,NA,12,0,NA,0,NA,0.11095991,NA,-2.198586316,-0.846065574,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.426880395,NA,12,0,NA,0,NA,0.130290131,NA,-2.03799154,-0.851251411,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.418742293,NA,12,0,NA,0,NA,0.125783836,NA,-2.073190435,-0.8704996,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.405425401,NA,12,0,NA,0,NA,0.129100688,NA,-2.047162653,-0.902818391,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.389889026,NA,12,0,NA,0,NA,0.121731314,NA,-2.10593901,-0.941893129,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.342540074,NA,12,0,NA,0,NA,0.119361554,NA,-2.125598122,-1.071366624,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.35215783,NA,12,0,NA,0,NA,0.14072336,NA,-1.960959304,-1.043675824,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.417262639,NA,12,0,NA,0,NA,0.162793457,NA,-1.815273018,-0.874039426,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.389149199,NA,12,0,NA,0,NA,0.185877572,NA,-1.682667039,-0.943792465,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.259679408,NA,12,0,NA,0,NA,0.060321383,NA,-2.808068631,-1.348307454,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.231565968,NA,12,0,NA,0,NA,0.066135761,NA,-2.716045668,-1.462890487,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.210110974,NA,12,0,NA,0,NA,0.067824607,NA,-2.690830209,-1.56011944,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.207151665,NA,12,0,NA,0,NA,0.066185955,NA,-2.715287004,-1.574304075,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.196054254,NA,12,0,NA,0,NA,0.064975217,NA,-2.733749352,-1.629363852,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.17755857,NA,12,0,NA,0,NA,0.056789559,NA,-2.868402793,-1.728454755,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.18865598,NA,12,0,NA,0,NA,0.076092401,NA,-2.57580687,-1.667830133,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.186436498,NA,12,0,NA,0,NA,0.080208807,NA,-2.523121963,-1.67966459,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.187916153,NA,12,0,NA,0,NA,0.091718922,NA,-2.38902657,-1.671759411,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.1324291,NA,12,0,NA,0,NA,0.063872473,NA,-2.750866792,-2.021707872,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.119852035,NA,12,0,NA,0,NA,0.052385173,NA,-2.949131693,-2.121497343,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
