BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
1,0,P,A,A,3.1,5.3,8,M/R,M/R,M/R,0.05,0.29,0.41
0,0,A,A,A,4.3,8.3,8.9,R,M/R,M/R,0.06,0.2,0.46
0,0,P,A,S,0.9,2.5,5.9,M,R,M/R,0,0.16,0.22
0,0,P,A,A,1,2.7,7.9,M/R,R,M,0.01,0.07,0.86
1,0,P,A,S,1.9,2.6,4.6,R,R,R,0.14,0.15,0.3
0,0,P,A,A,1.1,1.9,3.9,M,M/R,R,0.03,0.13,0.18
0,0,P,A,A,2,3,5.1,M/R,M/R,R,0,0.05,0.31
0,0,P,A,A,0.9,1.9,3.1,M/R,M/R,R,0.04,0.07,0.14
0,0,A,A,A,2.1,2.9,4,M,M,R,0.1,0.11,0.24
0,0,A,A,S,0.7,2,3.9,M,M/R,M/R,0.01,0.09,0.18
0,0,P,A,A,1.7,4,6,R,R,R,0.04,0.63,0.89
0,0,P,A,A,1.9,4.5,6,R,R,R,0.5,0.92,1.45
0,0,P,A,A,1.7,5.4,8,R,R,R,0.47,0.77,1.35
1,0,P,A,A,2.4,5.2,8.6,R,R,G,0.01,0.05,0.75
1,0,P,A,A,2.4,3.7,4.8,G,M/G,M/G,0.28,0.26,1.11
0,0,P,A,A,2,2.8,3.4,G,M/G,M/R,0.33,0.42,0.8
0,0,P,A,A,1.2,2.9,4.7,M/R,M/R,M/R,0.05,0.2,0.21
0,0,P,A,A,1.8,2.8,3.9,M/G,M,M,0.32,0.2,0.33
0,0,P,A,A,1.8,3.3,6.5,M/G,M/G,M,0.05,0.45,0.24
0,0,P,A,A,1.6,5,6.1,M/R,M/R,R,0.14,0.29,0.71
0,0,A,A,A,3.4,6.4,7.8,M/R,M/R,M,0.04,0.2,0.51
0,0,P,A,A,2.1,4.6,6.4,M/R,M/R,M/R,0.35,0.39,0.92
0,0,P,A,A,5,7,7.6,M/G,M,M/G,0.04,0.14,0.81
0,0,P,A,S,2.9,4.1,5.4,R,M,M,0.12,0.39,0.29
0,0,P,A,S,1.8,5.1,6,M,M,M/R,0,0.18,0.62
1,0,P,A,S,2.7,4,4,M,M/R,M/R,0.09,0.45,0.51
0,0,P,A,A,2.2,5.5,7.3,R,M,M,0.11,0.23,0.34
1,0,P,A,A,2.2,6.3,9.1,R,M/R,M/R,0.01,0.33,0.52
0,0,P,A,A,1.4,2.4,2.4,M,M,M/R,0.04,0.11,0.16
1,0,P,A,A,2.8,6.1,9.2,R,R,R,0,0.32,0.71
1,0,P,A,S,1.2,6.1,8.8,R,G,R,0.2,0.31,0.8
0,1,P,A,A,3,6.3,9.7,M/R,M/R,M/R,0.04,0.31,0.59
0,0,P,A,S,1.6,5.3,5.5,R,R,R,0.39,0.61,0.66
2,0,P,A,S,1.4,4,6.9,M/R,R,R,0.17,0.52,0.83
1,0,P,A,A,1,4.4,9.6,R,R,R,0.02,0.4,0.85
2,0,P,A,A,3.3,4.4,5.2,M/R,M/R,M/R,0,0.22,0.14
0,0,A,A,S,1.3,3.5,4.9,M,M,M,0.31,0.44,0.59
0,0,A,A,S,1.2,4.4,7.5,M,M,M,0.04,0.13,0.22
0,0,A,A,A,1.3,3.4,5.1,M,M,M,0.43,0.64,0.75
0,0,A,A,A,1.7,4.4,5.6,M,M,M,0.43,0.46,0.58
1,0,A,A,A,1.7,4.4,5.9,M,M,M,0.55,0.85,0.87
0,0,A,A,A,1.4,4,5.2,M,M,M,0.55,0.96,1.06
0,0,A,A,A,1.3,4.1,5.8,M,M,M,0.44,0.59,0.68
0,0,A,A,A,2.3,4.9,6.4,M,M,M,0.27,0.68,0.61
0,0,A,A,A,0.8,4.4,5.8,M,M,M,0.34,0.71,0.84
0,0,A,A,A,1.2,3.6,5.6,M,M,M,0.17,0.47,0.5
0,0,A,A,A,1.9,5,6.6,M,M,M,0.06,0.09,0.4
0,0,A,A,S,0.8,2.6,3.8,M,M,M,0.2,0.33,0.71
0,0,A,A,A,0.6,2.3,4,M,M,M,0.22,0.37,0.63
0,0,A,A,S,0.8,3.1,6.7,M/R,M,M,0.02,0.26,0.16
0,0,A,A,A,2.3,6.7,8.3,M/R,M,M,0,0.06,0.37
0,0,A,A,A,2.3,5.4,7.4,M/R,M/R,M/R,0,0.37,0.6
0,0,A,A,A,2.1,5.8,6.4,R,M/R,M,0.3,0.33,0.37
0,0,A,A,A,3.1,5.5,7,R,M/R,M,0.24,0.28,0.33
0,0,A,A,A,2.5,5.9,7.9,R,M/R,M,0.2,0.29,0.43
0,0,A,A,A,4.2,5.3,9.2,M/R,M,M/R,0.12,0.21,0.28
0,0,A,A,A,3,5.1,7.9,R,M/R,M/R,0.05,0.07,0.22
0,0,A,A,A,3.8,6.7,9.5,R,M/R,M/R,0,0.11,0.12
