target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.53575469,NA,53.23876633,0.532387663,53.72264697,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,1.099564518,2.035754689,1583.372906,1.099564518,26.38954844,NA,0.5,1.099564518,0.909450954,26.5,NA,NA,1583.372906,rainbow trout,Wyoming/Montana/PNW,exogenous,11.4,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.94797688,NA,0.008214277,8.21428E-05,24.66575362,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.073683785,13.94797688,106.1046509,0.073683785,1.768410848,NA,0.5,0.073683785,13.57150688,26.9,NA,NA,106.1046509,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.94797688,NA,4.530206695,0.045302067,31.97636955,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.224000321,5.947976879,322.5604625,0.224000321,5.376007708,NA,0.5,0.224000321,4.464279314,26.9,NA,NA,322.5604625,rainbow trout,Wyoming/Montana/PNW,exogenous,6.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.96531792,NA,3.79623E-11,3.79623E-13,10.44988886,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.024236256,17.96531792,34.90020797,0.024236256,0.581670133,NA,0.5,0.024236256,41.26049912,27,NA,NA,34.90020797,rainbow trout,Wyoming/Montana/PNW,exogenous,4.6,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.96531792,NA,2.076590547,0.020765905,42.78766706,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.178902417,9.965317919,257.6194803,0.178902417,4.293658005,NA,0.5,0.178902417,5.58963941,27,NA,NA,257.6194803,rainbow trout,Wyoming/Montana/PNW,exogenous,5,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.98265896,NA,48.55780568,0.485578057,57.1698267,NA,5,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.959485838,2.48265896,1381.659607,0.959485838,23.02766011,NA,0.5,0.959485838,1.042224867,27,NA,NA,1381.659607,rainbow trout,Wyoming/Montana/PNW,exogenous,4.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.98265896,NA,58.42186833,0.584218683,76.84073905,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,1.289624355,2.48265896,1857.059072,1.289624355,30.95098453,NA,0.5,1.289624355,0.775419599,27,NA,NA,1857.059072,rainbow trout,Wyoming/Montana/PNW,exogenous,5.2,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.00788999,NA,31.35880913,0.313588091,43.14816878,NA,10,NA,NA,NA,NA,24,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.597708152,3.007889988,860.6997389,0.597708152,14.34499565,NA,0.5,0.597708152,1.673057322,27,NA,NA,860.6997389,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.00970527,NA,1.6555E-22,1.6555E-24,5.471371728,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.012658387,18.00970527,18.22807752,0.012658387,0.303801292,NA,0.5,0.012658387,78.99900573,27,NA,NA,18.22807752,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.01342662,NA,0.000403691,4.03691E-06,18.76974516,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.055808814,14.01342662,80.36469171,0.055808814,1.339411529,NA,0.5,0.055808814,17.91831673,27,NA,NA,80.36469171,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.01448238,NA,0.005005196,5.0052E-05,30.26327203,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.069997552,18.01448238,100.796475,0.069997552,1.679941249,NA,0.5,0.069997552,14.28621388,27,NA,NA,100.796475,rainbow trout,Wyoming/Montana/PNW,exogenous,11.8,
