SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
47.0L,Slope,Mitigated,1/15/2014,1,BGS,50,54,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,BGS,50,53,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,C,95,108,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,GSF,57,59,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,SMB,75,78,NA,NA,N,153,2.44,NA
44.7R,Slope,Mitigated,1/15/2014,1,CHN,131,148,5,LF,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,CHN,142,159,5,LF,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,LMB,68,71,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,MSS,68,77,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,PRS,71,71,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,PRS,125,125,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,SMB,82,87,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,SMB,82,86,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,TP,90,97,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,TP,95,102,NA,NA,N,182,2.38,NA
44.7R,Slope,Mitigated,1/15/2014,1,TP,95,101,NA,NA,N,182,2.38,NA
43.7R,Slope,Mitigated,1/15/2014,1,CHN,135,152,5,LF,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,LMB,70,73,NA,NA,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,PRS,115,115,NA,NA,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,SMB,76,81,NA,NA,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,SMB,76,81,NA,NA,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,TP,94,99,NA,NA,N,140,2.67,NA
43.7R,Slope,Mitigated,1/15/2014,1,YFG,176,176,NA,NA,N,140,2.67,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASQ,169,186,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASQ,262,280,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,29,31,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,32,34,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,35,37,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,35,37,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,36,38,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,36,38,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,37,39,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,39,41,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,43,45,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,43,45,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,45,48,NA,NA,N,178,9.6,NA
91.9R,Naturalized,Naturalized,1/31/2014,2,SASU,47,50,NA,NA,N,178,9.6,NA
90.8R,Naturalized,Naturalized,1/31/2014,2,RBT,187,195,4,NA,N,155,9.68,Hatchery
